epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,17175.9,0.79506,0.60389,1.16108,0.80417,0.76912,0.84167,0.58067,1.06088,0.71356,1.32477,0.000297232,0.000297232,0.000297232
82,17387.4,0.78174,0.59935,1.15409,0.80609,0.7663,0.83999,0.57802,1.06186,0.71742,1.32853,0.000283085,0.000283085,0.000283085
83,17599.1,0.78959,0.59509,1.16276,0.8119,0.76462,0.84197,0.57917,1.06074,0.72104,1.32812,0.000268938,0.000268938,0.000268938
84,17810.8,0.78851,0.58841,1.15857,0.81241,0.76932,0.84128,0.58218,1.06083,0.72068,1.32784,0.000254791,0.000254791,0.000254791
85,18022.5,0.77168,0.58482,1.14895,0.81567,0.76277,0.83875,0.58231,1.05677,0.71834,1.33069,0.000240644,0.000240644,0.000240644
86,18234.2,0.77647,0.58432,1.15053,0.82465,0.75555,0.83816,0.57975,1.05543,0.71789,1.32338,0.000226497,0.000226497,0.000226497
87,18445.8,0.76974,0.58091,1.14029,0.80874,0.75697,0.83567,0.57949,1.05402,0.71939,1.32035,0.000212349,0.000212349,0.000212349
88,18657.8,0.75706,0.56694,1.1396,0.80972,0.75622,0.83498,0.5799,1.05684,0.71978,1.32883,0.000198202,0.000198202,0.000198202
89,18869.3,0.75732,0.56605,1.14115,0.81693,0.75219,0.83526,0.579,1.05877,0.72209,1.33075,0.000184055,0.000184055,0.000184055
90,19080.8,0.75175,0.56484,1.13408,0.82371,0.74988,0.8356,0.58097,1.05858,0.72214,1.3331,0.000169908,0.000169908,0.000169908
91,19292.2,0.69206,0.44711,1.09702,0.81571,0.75511,0.83479,0.58176,1.05775,0.72149,1.33271,0.000155761,0.000155761,0.000155761
92,19503.5,0.66922,0.42163,1.08331,0.79291,0.77108,0.83633,0.58278,1.05889,0.72684,1.33614,0.000141614,0.000141614,0.000141614
93,19714.5,0.65844,0.41457,1.07795,0.77449,0.79147,0.8362,0.58345,1.06322,0.72841,1.34613,0.000127467,0.000127467,0.000127467
94,19925.4,0.65868,0.40796,1.0732,0.80604,0.76427,0.8367,0.58305,1.06419,0.73024,1.35025,0.00011332,0.00011332,0.00011332
95,20136.2,0.64493,0.40142,1.06624,0.78095,0.78688,0.83653,0.58422,1.06112,0.72894,1.34803,9.91726e-05,9.91726e-05,9.91726e-05
96,20347.3,0.63289,0.38734,1.05711,0.78842,0.78318,0.83731,0.58462,1.06375,0.72805,1.35426,8.50255e-05,8.50255e-05,8.50255e-05
97,20558.3,0.63432,0.38835,1.05995,0.80275,0.77143,0.83661,0.58427,1.06589,0.72882,1.35742,7.08784e-05,7.08784e-05,7.08784e-05
98,20769.2,0.6255,0.38545,1.05507,0.79971,0.77351,0.83647,0.58358,1.06632,0.73055,1.35846,5.67313e-05,5.67313e-05,5.67313e-05
99,20980,0.61919,0.37815,1.04616,0.80768,0.76748,0.83548,0.58351,1.06718,0.73175,1.36044,4.25842e-05,4.25842e-05,4.25842e-05
